citizen,total_climbers,total_deaths,deathtype
,7,7,
Afghanistan,3,3,
Afghanistan/USA,1,1,
Albania,7,7,
Algeria,7,7,
Andorra,45,45,
Argentina,283,283,
Argentina/Canada,2,2,
Armenia,3,3,
Australia,1640,1640,
Australia/Greece,1,1,
Australia/Ireland,2,2,
Australia/New Zealand,18,18,
Australia/S Africa,2,2,
Australia/Sweden,5,5,
Australia/UK,1,1,
Australia/USA,1,1,
Austria,2275,2275,
Austria/Brazil,1,1,
Azerbaijan,6,6,
Azerbaijan/Russia,10,10,
Bahrain,30,30,
Bangladesh,41,41,
Belarus,44,44,
Belgium,505,505,
Bhutan,3,3,
Bolivia,9,9,
Bosnia-Herzegovina,17,17,
Bosnia-Herzegovina/USA,5,5,
Botswana,1,1,
Brazil,244,244,
Bulgaria,247,247,
Canada,1349,1349,
Canada/Ireland,2,2,
Canada/Macedonia,2,2,
Canada/Portugal,2,2,
Canada/Russia,6,6,
Canada/UK,1,1,
Canada/USA,3,3,
Chile,227,227,
Chile/Sweden,1,1,
China,2901,2901,
China/Japan,1,1,
China/USA,2,2,
Colombia,88,88,
Colombia/USA,8,8,
Costa Rica,14,14,
Croatia,117,117,
Cuba,2,2,
Cyprus,9,9,
Cyprus/Russia,3,3,
Czech Republic,769,769,
Czechoslovakia,355,355,
Denmark,259,259,
Denmark/Australia,6,6,
Dominica,1,1,
Dominican Republic,6,6,
Ecuador,159,159,
Ecuador/Germany,4,4,
Egypt,4,4,
Egypt/UK,1,1,
El Salvador,3,3,
Estonia,56,56,
Finland,226,226,
France,5089,5089,
France/Algeria,1,1,
France/Luxembourg,1,1,
France/Switzerland,4,4,
France/USA,3,3,
Georgia,120,120,
Germany,3015,3015,
Germany/Iran,2,2,
Germany/S Africa,1,1,
Germany/Switzerland,1,1,
Germany/UK,2,2,
Germany/USA,1,1,
Greece,170,170,
Guatemala,15,15,
Honduras,2,2,
Hong Kong,16,16,
Hungary,190,190,
Hungary/Romania,1,1,
Iceland,70,70,
India,2465,2465,
India/Nepal,4,4,
India?,3,3,
Indonesia,86,86,
Iran,454,454,
Iraq,8,8,
Ireland,296,296,
Ireland/UK,18,18,
Israel,102,102,
Italy,2937,2937,
Italy/Slovenia,4,4,
Italy/USA,2,2,
Japan,6604,6604,
Japan/China,1,1,
Jordan,11,11,
Kazakhstan,162,162,
Kenya,17,17,
Kosovo,19,19,
Kuwait,15,15,
Kyrgyz Republic,40,40,
Kyrgyz Republic/Russia,2,2,
Latvia,71,71,
Lebanon,21,21,
Libya,1,1,
Liechtenstein,7,7,
Lithuania,70,70,
Lithuania/USA,2,2,
Luxembourg,26,26,
Macedonia,27,27,
Macedonia/Australia,1,1,
Malaysi,1,1,
Malaysia,170,170,
Malta,18,18,
Mauritius,5,5,
Mexico,350,350,
Moldova,8,8,
Mongolia,45,45,
Mongolia/Australia,1,1,
Montenegro,11,11,
Morocco,16,16,
Myanmar,11,11,
N Korea,1,1,
Nepal,20873,20873,
Nepal/Australia,12,12,
Nepal/Canada,1,1,
Nepal/India,6,6,
Nepal/India?,4,4,Fall
Nepal/USA,3,3,
Netherlands,844,844,
Netherlands/Switzerland,1,1,
New Zealand,853,853,
New Zealand/Australia,5,5,
New Zealand/UK,1,1,
Norway,678,678,
Norway/Denmark,3,3,
Oman,10,10,
Pakistan,78,78,
Palestine,3,3,
Panama,3,3,Fall
Paraguay/Germany,1,1,
Peru,55,55,
Philippines,42,42,
Poland,1638,1638,
Poland/Canada,1,1,
Poland/USA,1,1,
Portugal,93,93,
Qatar,18,18,
Romania,267,267,
Romania/USA,1,1,
Russia,1681,1681,
Russia/USA,2,2,
Russia/Ukraine,3,3,
S Africa,214,214,
S Africa/Portugal,1,1,
S Africa/UK,1,1,
S Africa/Ukraine,2,2,
S Africa/Zambia,4,4,
S Korea,3002,3002,
San Marino,5,5,
Saudi Arabia,6,6,
Saudi Arabia/USA,1,1,
Serbia,81,81,
Serbia/Jordan,1,1,
Singapore,173,173,
Singapore/Malaysia,2,2,
Slovakia,253,253,
Slovakia/USA,3,3,
Slovenia,575,575,
Spain,3598,3598,
Spain/Brazil,3,3,
Spain/USA,4,4,
Spain/Venezuela,3,3,
Sri Lanka,7,7,
Sweden,425,425,
Switzerland,2656,2656,
Switzerland/France,6,6,
Switzerland/Germany,1,1,
Switzerland/Greece,1,1,
Switzerland/UK,2,2,
Switzerland/USA,2,2,
Syria,1,1,
Taiwan,137,137,
Tajikistan,1,1,
Tanzania,2,2,
Thailand,58,58,
Tunisia,2,2,
Turkey,59,59,
Turkey/USA,12,12,
Turkmenistan,1,1,
UAE,66,66,
UK,5786,5786,
UK/Argentina,8,8,
UK/Australia,9,9,
UK/Bangladesh,1,1,
UK/Canada,2,2,
UK/Egypt,1,1,
UK/Germany,1,1,
UK/Hong Kong,1,1,
UK/Iceland,1,1,
UK/India,3,3,
UK/Iran,8,8,
UK/Italy,1,1,
UK/Jordan,2,2,
UK/Kenya,1,1,
UK/Lebanon,2,2,
UK/Nepal,20,20,
UK/New Zealand,3,3,
UK/Russia,6,6,
UK/S Africa,3,3,
UK/Spain,8,8,
UK/Sri Lanka,3,3,
UK/Switzerland,1,1,
UK/USA,6,6,
USA,7448,7448,
USA/Austria,1,1,
USA/Brazil,12,12,
USA/Canada,22,22,
USA/China,2,2,
USA/Colombia,3,3,
USA/Cuba,1,1,
USA/Dominican Republic,1,1,
USA/Ecuador,3,3,
USA/Ethiopia,2,2,
USA/Germany,3,3,
USA/India,3,3,
USA/Iran,7,7,
USA/Ireland,4,4,
USA/Israel,1,1,
USA/Jamaica,5,5,
USA/Lativa,1,1,
USA/Latvia,1,1,
USA/New Zealand,1,1,
USA/Pakistan,5,5,
USA/Poland,8,8,
USA/Romania,6,6,
USA/Russia,7,7,
USA/Switzerland,13,13,
USA/UK,11,11,
USA/UKraine,1,1,
USA/Ukraine,11,11,
USSR,271,271,
Ukraine,459,459,
Ukraine/Azerbaijan,1,1,
Uruguay,9,9,
Uzbekistan,37,37,
Venezuela,48,48,
Vietnam,16,16,
W Germany,777,777,
W Germany/Iran,7,7,
Yugoslavia,493,493,Unknown
